标题,摘要,关键词,资金来源,DOI,原文刊载于,原文链接
"[论文]Ma, Yongchi;Jiang, Yong：Ecosystem-based adaptation to address urbanization and climate change challenges: the case of China's sponge city initiative","Rapid urbanization and climate change are two grand challenges faced by many cities in pursuing sustainable urban development. While ecosystem-based adaptation practices are increasingly recognized and adopted across the world as an important urban development strategy, their effective implementation in diverse biophysical conditions and development contexts is of interest, requiring scientific research and learning. This paper presents the case of China in implementing an ecosystem-based approach - sponge city development - to address the water-related challenges of urbanization and climate change. It draws on the literature to synthesize understanding of the interaction between the urban landscape, urban development, and ecosystem services, and proposes mainstreaming an ecosystem service framework in spatial planning and performance evaluation to guide ecosystem-based adaption practices. Focusing on China's practice, the paper develops a five-step procedure for operationalizing and mainstreaming ecosystem services so as to improve policy implementation for sponge city development. This paper aims to provide a practical perspective to help enhance ecosystem-based adaptation in urban development to better address the challenges of urbanization and climate change.",Climate changeecosystem servicesfloodingsponge citywater resiliencespatial planning,,10.1080/14693062.2022.2131503,CLIMATE POLICY，OCT 2022,https://www.tandfonline.com/doi/full/10.1080/14693062.2022.2131503
[论文]赵婷 蒋锐：中国新型政党制度的理论意蕴,中国新型政党制度是马克思主义政党理论同中国实际相结合的产物，是中国共产党坚持把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合的伟大成果。着力提升新型政党制度的吸引力、说服力、引导力，要进一步深化中国新型政党制度的理论阐释。中国新型政党制度理论创新的精髓要义在于其对政党理论的创新，本质要求体现在其对民主理论的创新上，而国家治理理论创新则是中国新型政党制度理论创新的题中之义。,中国新型政党制度;理论价值;民主;国家治理;,国家社会科学基金重大项目“中国共产党百年奋斗中坚持统一战线经验研究”的阶段性成果，项目编号：22ZDA016；,10.16619/j.cnki.rmltxsqy.2022.20.011,"人民论坛·学术前沿.2022,(20)","https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTODAY&filename=RMXS202220012&uniplatform=NZKPT&v=lXbIjx-RqGY5rz1zbRQAjqU5t468EJjTJjiZKnw-8RnMrS1-cRhkbKzBkFFrXmRl
"
"[论文]Cheng, Long ; Xu, Zhengchun ; Li, Jintao：Promote or Demote? Investigating the Impacts of China's Transferable Development Rights Program on Farmers' Income: A Case Study from Chongqing","China has been undergoing rapid urbanization and industrialization process since the adoption of economic reform and open-door policy in 1978, which is leading to tremendous urban growth and encroachment on rural farmland. To address the conflicts between urban development and farmland protection, the Chinese government introduced the transferable development rights (TDR) program named the Link Policy, and it was popularized nationwide given the tremendous land revenue from policy implementation. However, as farmers are the key stakeholders, the impacts of the policy on farmers' income need to be examined and justified. Thus, this paper aims to fill this gap by taking Chongqing as a case study. The synthetic control method was introduced to construct a synthetic Chongqing without the policy implementation using the 49 municipal cities and Chongqing during 2000-2017. Findings from the analysis indicate that Chongqing's TDR program significantly promoted farmers' income at the beginning of the policy implementation, while the positive impacts became weak afterward. Based on these findings, a few policy suggestions including a fair revenue distribution scheme and protection of farmers' land use rights are offered to facilitate the policy implementation and increase farmers' household income in the coming future.","synthetic control methodtransferable development rightsland ticketfarmer's incomeurbanization
",,10.3390/ijerph192113751,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH，NOV 2022,https://www.mdpi.com/1660-4601/19/21/13751
[论文]秦亚青 孙吉胜 杨丹 王展鹏：区域国别学的知识体系与学科建构,2022年9月13日，国务院学位委员会、教育部印发《研究生教育学科专业目录（2022年）》，区域国别学正式成为交叉学科门类下的独立一级学科，进一步完善具有中国特色的知识体系和学科建构成为区域国别学学科建设的重要任务。就知识体系的构成而言，区域国别学的知识体系应包含三种类型的知识：描述性知识、学理性知识和应用性知识。描述性知识是学科知识的基础和重要组成部分，学理性知识发现区域国别研究对象的规律性行为、验证理论的普适性范畴，应用性知识解决国家面临的重大问题，三者相辅相成。在学科初创期，无需人为设定知识等级和主导学科，要着力推动三类知识交融会通，在学科交汇处发现创新点。区域国别研究要加强跨学科研究和学科交叉融合创新，在这方面，国际政治语言学、管理学的研究方法和路径可提供启示。区域国别学与其他学科可搭建多学科学者联合平台、人才培养平台、学术交流平台和社会服务平台，互相支持，协同发展。中国区域国别学的初创阶段要解决好挖掘跨学科研究议程的潜力、实现与传统学科相互借鉴、融合、共同发展的问题，在此基础上实现理论创新和知识体系创新，逐步构建自身的学科身份。,区域国别学；国别与区域研究；区域研究；学科建设；交叉学科；,研究阐释党的十九届六中全会精神国家社科基金重大项目“中国参与全球治理中的软权力建设研究”（项目批准号：22ZDA130）阶段性成果；北京外国语大学2022年度“双一流”建设重大（点）标志性项目“俄乌冲突背景下欧盟在全球治理中的角色研究”（项目批准号：2022SYLA004）阶段性成果；,10.13549/j.cnki.cn11-3959/d.2022.06.001,国际论坛，2022，（06）,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=GJLT202206001&uniplatform=NZKPT&v=r3zTWvr7c_8iQ8ZIFVip-_1RYJ0zMzl0IYUfUFdr8f4jgyLTXdOqzMhX3LEHn0MQ
"[论文]Wang, Xinxi ;Meng, Tianguang：Internet involvement, information consumption, and political participation in urban China","The issue of whether the internet promotes political participation has always been a hotly debated topic in academia. However, current research lacks an effective classification of the modes of internet use, and it does not analyze their effect on different forms of political participation. Based on data from the 2015 and 2018 waves of the China Urban Governance Survey, this study offers an examination of the internet usage behavior of Chinese urban netizens from the perspectives of internet involvement and information consumption, as well as comparing the impact that different modes of internet use have on conventional and unconventional political participation. The results of this study confirm the ""citizen-empowerment hypothesis"" of internet use, and show that the ""group involvement-social-information-oriented"" mode of internet use has a positive effect on the conventional and unconventional political participation of urban internet users. However, the study fails to support the ""time-displacement hypothesis"". It shows that the ""individual involvement-entertainment-oriented"" mode of internet use does not have a negative impact on the conventional and unconventional political participation of Chinese urban internet users. Similarly, the ""group involvement-entertainment-oriented"" mode of internet use has no significant effect on unconventional political participation. Taken together, the study shows that, in general, internet use has promoted the political participation of Chinese urban netizens, but there are significant differences between the different modes of internet use. As a revolutionary medium, the internet not only provides people with a convenient way of obtaining and communicating information, but also creates more challenges for state governance. The way in which the government should deal with different forms of political participation in the internet age will be an important research topic in the future.",Political participationinternet involvementinformation consumptioncitizen-empowerment hypothesistime-displacement hypothesis,,10.1177/2057150X221121698,CHINESE JOURNAL OF SOCIOLOGY，OCT 2022 ,https://journals.sagepub.com/doi/10.1177/2057150X221121698
"[论文]Xie, Donghong; Wang, Jiwen; Huang, Fan：The Role of Adverse Childhood Experiences in Multidimensional Nature of Subjective Age.","OBJECTIVES: Age stereotypes and expectations about one's own aging commence in childhood, while most research focuses on predictive associations with midlife cognition and health outcomes in later life. This study instead aims to examine adverse childhood experiences (ACEs) contributing to multiple measures of subjective age (SA) among Chinese older adults and test whether these relationships differ by household registration (hukou).

METHODS: In a representative sample of Chinese older adults aged 60 and above from the 2018 China Longitudinal Aging and Social Survey (CLASS) (n=7,815), ordinary least squares (OLS) is used to examine the associations between ACEs and three facets of SA: felt age, look age, and self-defined aging standard.

RESULTS: Childhood starvation experience and limited healthcare access predict older felt age and look age, while parental death is associated with lower self-defined aging standard. Zooming in on hukou-specific associations shows that the dose-response relationship on older adults with rural hukou are particularly pronounced.

DISCUSSION: Findings provide empirical support for views of aging from a life-course perspective and highlight the enduring impact of ACEs for late-adulthood SA, as well as their differential influence on multiple indicators of SA. Interventions that focus on promoting health and development in childhood could potentially have effects beyond the childhood phase, and benefit for their positive aging attitude in later life.",ACEsAge stereotypesLifespan developmentSelf-perceptions of aging,,"10.1093/geronb/gbac160
",JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES，2022-Oct-08,https://academic.oup.com/psychsocgerontology/advance-article/doi/10.1093/geronb/gbac160/6754305?login=true
"[论文]Qie, Zijun ; Rong, Lili：A scenario modelling method for regional cascading disaster risk to support emergency decision making","A scenario modelling method for cascading disasters was proposed in this study to support decision making for complex disaster emergency preparation and response. Considering the causality of different events and complex interconnections of the elements at risk in disaster-affected regions, we constructed a conceptual framework for regional cascading disaster scenario analysis based on the regional disaster system theory. Subsequently, an interrelation network generation method to depict a hazard-affected region was proposed considering the characteristics of the disaster system; consequently, a dynamic evolution model of cascading disasters was developed. Further, a virtual region was designed to illustrate the application of the region modelling method and the dynamic evolution model of cascading disasters. Finally, we proposed two dimensions for analysis of cascading risk based on the scenario simulation results: the disaster consequence evolution trend of typical elements at risk and the disaster consequence cascading risk from the perspective of network structures. They can help identify the critical disaster scenario slices that aggravate the cascading effect of disaster consequence and be referenced to make efficient emergency decisions under cascading disaster scenarios.",Cascading disastersScenario modellingDisaster evolutionElements at riskTopological interrelation of impact,,10.1016/j.ijdrr.2022.103102,INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION，JUL 2022,https://www.sciencedirect.com/science/article/pii/S2212420922003211?via%3Dihub
"[论文]Liu, Hao ; Xu, Lin ;Ma, Lin:Governmental Interactive Strategies for Urban Real Estate Investment in China: An Analysis of the Promotion Tournament Model","China's central government has chosen the real estate industry as a pillar industry for achieving rapid economic growth. Local city governments also generally enlarge their scales of urban real estate investment to boost their political performance within the Chinese promotion tournament. To identify and separate the governmental interactive strategy of a particular city from the spatial dependence effects of urban real estate investment in its neighboring cities, we applied empirical data to various spatial econometric models with different spatial weighting matrices that incorporated the physical distances between cities and the differences in their population sizes and administrative divisions. There is evidence of spatial dependence effects. In terms of both population size and administrative divisions, these effects are mainly the result of governmental interactive strategies in addition to the First Law of Geography. Such strategies are positive and complementary because a city makes corresponding decisions to increase its real estate investments as its neighboring cities increase their scales of urban real estate investment.",SPATIAL DEPENDENCEECONOMYINDUSTRYMARKETSFINANCESECTOR,,10.1061/(ASCE)UP.1943-5444.0000874,JOURNAL OF URBAN PLANNING AND DEVELOPMENT，DEC 1 2022,https://ascelibrary.org/doi/10.1061/%28ASCE%29UP.1943-5444.0000874
[论文]赵婷 杨静轩：新冠肺炎疫情以来国外共产党发展态势研究,新冠肺炎疫情蕴含着比以往更加深刻的危机，它不仅使政治权力结构、经济发展逻辑、社会心理基底发生长期性变化，也推动世界社会主义运动迎来阶段性质变。国外共产党抓住这一政治机遇期，积极进行了适应性变革：回归正统意识形态，捍卫马克思列宁主义政党形象；探索更具灵活性的发展路线，避开合法主义政治陷阱；实施新媒体时代组织转型，发展数字化政党形态；采取统一行动，构建政治联盟和国际主义联合；更加肯定中国特色社会主义，向“东”看渐成潮流。综合来看，国外共产党初步展露出良好的发展势头，但是总体力量仍然不够强大，需谨慎应对资本主义自我改良和革命力量被分化瓦解的可能性。,新冠肺炎疫情;国外共产党;政党建设;世界社会主义运动;,2021年度国家社会科学基金青年项目“澳新地区左翼运动发展态势研究”（项目编号:21CKS040）的阶段性成果;,10.16502/j.cnki.11-3404/d.2022.05.003,"当代世界与社会主义.2022,(05)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=DDSJ202205010&uniplatform=NZKPT&v=KU7JWgfq3-qaVYQoi8Bmafw1UT-60zlUOV9eJD6c4bYUc1FniSHYr8ecZXk6TXXR
"[论文]Fei, LG ;Wang, YQ：An optimization model for rescuer assignments under an uncertain environment by using Dempster-Shafer theory","Emergency decision making and disposal are significant challenges faced by the international commu-nity. To minimize the emergency casualties, and reduce probable secondary disasters, it is necessary to immediately dispatch rescuers for emergency rescue in calamity prone areas. The abruptness, destructiveness, and uncertainty of emergencies, the rescue team often faces challenges of pressing time, scattered calamity locations, and diverse tasks. This necessitates the effective organization of rescuers, for their swift dispatch to the areas requiring rescue. A valuable research problem is how to group and dispatch rescuers reasonably and effectively according to the actual needs of the emergency rescue task and the situation to achieve the best rescue effect. This study establishes a dispatch model for rescuers in multiple disaster areas and rescue points. First, this paper combines the Dempster- Shafer theory (DST) and linguistic term set, to propose the concept of an evidential linguistic term set (ELTS), that can flexibly and accurately describe the subjective judgment of emergency decision -makers. It not only lays a theoretical foundation for establishing the rescuers' dispatch model, but also aids in expressing information in uncertain linguistic environments of decision-making and evaluation. Second, to determine the weight of ability-based rescuer evaluation criteria, this study adopted the evidential best-worst method, combining it with DST to compensate for the limitations of the traditional weightage calculation method in expressing uncertainty. Third, to effectively dispatch rescuers to multiple disaster areas, modeling is carried out based on the above methods to maximize the competence of rescuers and the satisfaction of rescue time, and the best scheme for the allocation of rescuers is determined by solving the model. Finally, the advantages of the constructed model in emergency multitasking group decision-making are demonstrated through an empirical analysis. (c) 2022 Elsevier B.V. All rights reserved.",DECISION-MAKING；DISASTER RELIEF；MANAGEMENT；ALLOCATION；OPERATIONS；UNITS；RULE,,10.1016/j.knosys.2022.109680,"KNOWLEDGE-BASED SYSTEMS ,NOV 14 2022",https://www.webofscience.com/wos/alldb/full-record/WOS:000860770400013
[论文] 滕玉成 郭成玉：什么决定了地方政府的回应性水平？——基于模糊集定性比较分析,提高地方政府回应性是建设服务型政府的基本要义。基于“需求回应—财力支撑—技术驱动”的分析框架，以中国31个省级政府为案例，运用模糊集定性比较分析方法（fs/QCA），对地方政府回应性的影响因素进行组态分析，并提出优化地方政府回应性的路径。研究发现：（1）单一影响因素并不足以构成高水平地方政府回应性的核心要素，公众需求、地方政府偏好、中央财政支持、区域经济发展水平、一体化网上政务服务能力、数字基础设施水平等多重因素并发，形成了影响地方政府回应性的6种组态形式；（2）地方政府回应性的优化路径可以概括为三种类型，即“财力支撑+技术驱动”型、“需求回应+财力支撑”型、“需求回应+财力支撑+技术驱动”型；（3）对比高水平与低水平地方政府回应性的组态发现，区域经济发展水平与一体化网上政务服务能力在提高地方政府回应性中发挥重要作用。为此，地方政府应注意因地制宜，选择适合自身发展的可行回应路径,服务型政府;地方政府;回应性水平;政务服务能力;模糊集定性比较分析;组态分析;,青岛市哲学社会科学规划项目（QDSKL2101004）； 山东大学政治学与公共管理学院研究生科研基金资助项目；,,西安交通大学学报(社会科学版).2022.05,"https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CAPJ&dbname=CAPJLASTDAY&filename=XAJD20221012000&uniplatform=NZKPT&v=lYL3KSyfw1S5uR4KvH762l3YqRaO4eefB0kJXKCZTgyJkwIojFVVus3Bk7R1ZFjl
"
[论文]邢占军、杨永伟：论中国式现代化进程中的乡村振兴,中国式现代化视野下的乡村振兴，是“三农”工作重心历史性转移的时代要求，是农业农村现代化动能转换的现实需要，是中国特色社会主义发展道路的必然选择。坚持中国共产党的全面领导，有效发挥人民群众的主体作用，以改革创新破解发展障碍，注重制度化体系建构和完善，为中国式现代化进程中的乡村振兴提供了强大动力。以中国式现代化为引领全面推进乡村振兴，要突出守好两条底线、探索共富发展机制、扎实推进乡村建设、改进完善乡村治理。,"中国共产党；中国式现代化；乡村振兴；动力机制
",,,《中国高校社会科学》2022年第5期,
[论文]杨永伟、邢占军|中国共产党的减贫事业：实践历程、基本经验与前景展望,中国共产党减贫事业的探索经历了四个历史时期：新民主主义革命时期、社会主义革命和建设时期、改革开放新时期、新时代全面建成小康社会时期。在不同的发展阶段，中国共产党采用不同的减贫策略，从带领农民翻身解放到大力缓解普遍贫困，从解决农民温饱问题到实现“两不愁三保障”，探索出一条中国特色社会主义减贫道路。中国共产党减贫实践的基本经验包括：始终坚持发展马克思主义减贫理论，始终坚持党对减贫工作的坚强领导，始终坚持依靠人民来推进减贫工作，始终坚持构建和完善减贫治理体系。针对减贫形势发生的深刻变化，中国共产党在新征程中应建立巩固脱贫攻坚成果的长效机制，做好脱贫攻坚与乡村振兴工作体系衔接，提高农村老病残等群体的综合保障水平，拓展社会力量开展驻村帮扶的制度空间。,中国共产党；减贫事业；脱贫攻坚；乡村振兴,,,"山东师范大学学报(社会科学版). 2022,67(03)",
[论文]Long Cheng：To leave or not to leave? ‘Intention’ is the question. Investigating farmers' decision behaviours of participating in contemporary China's rural resettlement programme,"Massive Development-induced Displacement and Resettlement have been taking places globally, in which China accounts for the major proportion. In recent years, resettlement in China was greatly promoted since the introduction of the Link Policy, which calls for rural resettlement and land consolidation to offer space for urban development. Consequently, cases of violations of farmers' interests appears constantly. This study aims to analyse farmers' decision behaviours of participating in the Link Policy so as to provide policy recommendations for local governments to protect farmers' interests during the resettlement process. With the Theory of Planned Behaviour and case study method, findings from this research show that farmers' subjective norm, perceived behaviour control and attitude are all significantly influencing their behavioural intentions of participation. Corresponding to the more detailed factor analysis results for each construct of TPB, policy recommendations are provided to secure farmers' land use rights and related interests and contribute to achieving a more successful and peaceful rural resettlement under the Link Policy in China's rapid urbanisation and industrialisation process. Reflections of the Link Policy in China can also shed lights on the implementations of resettlement programmes in many other countries.", Rural resettlement；The link policy；The theory of planned behaviour；Behavioural intention；Ezhou,,10.1016/j.eiar.2022.106888,Environmental Impact Assessment Review，AUG 2022,https://www.sciencedirect.com/science/article/pii/S0195925522001548
[论文]贝淡宁 李东阳：钱穆与梁漱溟民主尚贤观之比较,钱穆与梁漱溟是中国近代著名学者，他们都反对全盘西化的政治道路，由尚贤精神出发，提出了各自的民主尚贤观，并希冀以此为基础建立现代国家。钱穆以“贤人政府”为传统政治进行辩护，进而提出基于“信托政治”的民主尚贤观，最终影响到其国家本位的路向选择；梁漱溟则通过“理性之国”作为理解传统社会的依据，构建起“团体政治”映照下的民主尚贤观，最终决定了其社会本位的路向选择。钱穆与梁漱溟的民主尚贤观实现了尚贤理念和选举民主的初步耦合，其对政治领袖道德使命和智识能力的要求，至今仍有借鉴意义。,贤能政治;民主尚贤观;钱穆;梁漱溟;,,,"南开学报(哲学社会科学版).2022,(05)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=LKXB202205016&uniplatform=NZKPT&v=p3sBTlNQbdsGJdbCnq0r04XeR-MmGzCQj2mdt4IWBdVv17rLcJSd_ESB9FYTcInA
"[论文]Lou, SP ; Sun, ZF ; Zhang, YS：To join the top and the bottom: the role of provincial governments in China's top-down policy diffusion","The provincial governments in China and their impact on the policy adoption of county-level administrations remain understudied. This article contributes to the study of policy adoption by dividing the roles enacted by provincial governments into the four following types: subcontractor, pressure-giver, designer, and co-provider. It utilizes the event history analysis method to examine the effects of the four aforementioned roles on policy adoption by county-level governments on the Old Age Allowance Policy (OAAP). The results suggest that provinces playing the roles of designer, co-provider, and pressure-giver exert a significantly more positive impact on the acceptance of the OAAP by their county-level administrations than provinces performing as subcontractors. Meanwhile, the subcontractor-then-designer role exerts a negative influence on the espousal of the OAAP by county-level governments. These findings deliver a new theoretical account of the vertical approach to policy diffusion and offer substantive practical implications for social policy applications in hierarchical societies.",INNOVATIONS DECENTRALIZATION MANAGEMENT MECHANISMS ADOPTIONSTATES,,10.1080/23812346.2022.2105083,JOURNAL OF CHINESE GOVERNANCE，AUG 2022,https://www.tandfonline.com/doi/full/10.1080/23812346.2022.2105083
"[论文]King, C ; Du, J ：Profiting from growth: Trade, investment and the ASEAN-China technology gap","While outward FDI inflows have increased since 2008, the volume of Southeast Asia's exports to China has slowed down, prompting discussion about whether this will affect Southeast Asia's growth. This article empirically tests China's impact on Southeast Asia's growth using a nonlinear framework, and finds that economic linkages between Southeast Asia and China have been changing since the mid-1990s, especially during the 1997 and 2008 financial crises and the 2012 bilateral diplomatic change; that FDI is more important to economic growth than exports across Southeast Asia; and that there is no industrial technology gap between Southeast Asia and China.",Southeast Asiaexport-led growthforeign direct investmenteconomic cointegration,,10.1080/13504851.2022.2082365,APPLIED ECONOMICS LETTERS，JUN 2022,https://www.tandfonline.com/doi/full/10.1080/13504851.2022.2082365
"[论文]Wang, YJ ; Shi, JL ; Yao, Y ; Sun, WK：The impact of health insurance on job location choice: Evidence from rural China","Many health insurance programs contain certain portability constraints. It is common that enrollees are eligible for greater reimbursement when they received services at selected local facilities. We investigate the impact of this portability constraint on residents' choice of job location. Using a unique, nationwide survey data set in China, we find that provision of health insurance decreases the probability of working in non-local regions for the rural residents by 2.4%. The results are mainly driven by the residence lock-in effect. That is, the insurance program discourages rural residents from working outside their registered areas of residence and, especially, in other provinces. The pullback effect, that is, the effect of the health insurance program attracting migrant workers who had worked outside back to regions close to their hometowns, is not found to be significant.",Job location  Health insurance portability  Residence lock-in effect,,10.1016/j.jce.2022.01.001,JOURNAL OF COMPARATIVE ECONOMICS，JUN 2022,https://www.sciencedirect.com/science/article/pii/S0147596722000014?via%3Dihub
[论文]韩自强 刘杰：联合国倡导下的韧性城市建设：内容、机制与启示,推动高质量发展和高水平安全的动态平衡是新时期新安全格局的重要指导思想。韧性城市成为近年城市安全发展理念的前沿，也是联合国诸多机构在全球重点推动的城市发展理念之一。联合国减灾办、联合国人居署、世界银行、联合国开发署、世界卫生组织都推出了以自己业务为核心的韧性城市倡导，减灾办和人居署是其中最主要的倡导者。联合国机构在韧性的理念倡导，韧性城市建设的技术标准开发等方面通过其成员国网络和重要会议进行推广传播，发挥了重要作用。虽然同样倡导韧性城市的理念，各个机构所倡导的内容之间有所差异，多与自己机构的核心业务有所结合。通过对联合国各个机构的韧性城市倡导内容和过程进行分析，既可助力我国下一步的韧性城市建设工作，又可为我国通过联合国机构传播分享中国发展经验，讲好中国故事提供经验参考。,"韧性城市;联合国;减防灾;减灾办;人居署;
",国家自然科学基金重点项目“全时域视角下重大突发事件应急响应与协同决策机制研究”（编号：72134004）;“胶州湾第二隧道黄岛端施工社会风险治理课题研究”（编号：SK210471）；,10.19735/j.issn.1006-0863.2022.07.15,"中国行政管理.2022,(07)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=ZXGL202207018&uniplatform=NZKPT&v=TVnuspNYQKVMTAWcH2wDtULnz5K7nnLe-uX8LDHKVaLCpvzzJ_LXFZOQd0NzXiDw
[论文]黄登学:“代理人战争”：动因与运作方式,“代理人战争”的发生与核武器的毁灭性后果密切相关，是“赞助者”特别是核大国希望或者能够在不诉诸于直接军事冲突的情况下通过其“代理人”保护或实现自己的地缘政治利益，“代理人战争”频发的原因在于其较高的“性价比”。作为一种政策工具，“赞助者”主要是通过向“代理人”提供人力、军事装备、财政援助和其他非军事手段等来维护和实现自身国家利益。此次乌克兰危机就是一场“代理人战争”。,“赞助者”;乌克兰危机;“代理人战争”;,山东大学人文社会科学重大项目“中俄美三边战略关系中长期发展前景与中国的战略应对”（项目编号：19RWZD13）阶段性研究成果；,,"人民论坛. 2022,(15)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTODAY&filename=RMLT202215020&uniplatform=NZKPT&v=IBuj39tafqdmeOG2CPLrEeRx-EVE7oScebYcBfvSrxh9P1JtVUFo_2vfE8Njk9kG
[论文]杨春林：世界左翼大党老党百年演进及历史启示,左翼大党老党是世界社会主义运动的主体，其兴衰成败也是世界社会主义运动起伏发展的最直接体现。马克思主义诞生以来，科技革命和全球化不断重塑国际政治经济格局，资本主义与社会主义力量博弈此消彼长，各国的产业结构和阶级状况持续调整，各左翼政党在能力建设方面表现不一，这些因素共同影响了左翼大党老党的兴衰成败。主要社会主义国家执政党历尽波折开启新的篇章，其他第三世界国家的左翼政党也在探索不同于资本主义的新道路，西方国家的社会民主党正逐渐重拾左翼传统、复归阶级政治。本文在回顾世界左翼大党老党百年来的演化历程、分析不同影响因素作用逻辑的基础上，试图从理念纲领、阶级基础、组织原则、治国理政、政党宣传等方面总结其发展中的历史规律和经验教训。,左翼政党;世界社会主义;国外共产党;社会民主党;,教育部人文社科重点研究基地重大项目“国外共产党适应性变革与社会主义道路新探索研究”（16JJD710010）；,10.16012/j.cnki.88375471.2022.02.005,"当代世界社会主义问题. 2022,(02)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=DSSH202202008&uniplatform=NZKPT&v=FUxdl8BTWuyo9hWGhXxpiebC6UWbW0VT1FfBh8RlMMoc52Tt-TByvzjbXObvbWwn
[论文]臧秀玲：中国共产党为什么能——基于政党的类型学分析,历经百年奋斗历程，中国共产党完成了建党建国、兴党兴国、强党强国的时代壮举。百年来的理论与实践表明，中国共产党是一个为中国人民谋幸福、为中华民族谋复兴的使命型政党，超越了西方政治学者对政党类型的分类，形成了自身的特质与优势。这是中国共产党为什么能的关键所在。,,山东省社科专项党的建设理论与实践研究专题重点项目“习近平新时代全面从严治党重要论述研究”（项目批准号：21BDCJ02）的阶段性成果；,,"当代世界.2022,(07)","https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=JSDD202207020&uniplatform=NZKPT&v=oIrnOyK6ugkqNSduodV9thqSLtQXD2gpKPnwVD2wW8zkpNKyhAVhF2RfejWW55pK
"
[论文]臧秀玲 康乐：中国新型政党制度的创造性、优越性及其时代意蕴,中国共产党领导的多党合作和政治协商制度作为我国一项基本政治制度，是马克思主义政党理论同中国具体实际和中华优秀传统文化相结合的产物，具有鲜明的创造性、显著的优越性和丰富的时代意蕴。中国新型政党制度创造性地构建了一种全新的政党政治模式，在政党与政权关系、政党与社会关系和政党与政党关系等方面实现了对西方政党制度的多重超越，在强化政党制度的整合能力、提升政党制度的民主质量、巩固政党制度的维稳功能三个维度具有显著的优越性。中国新型政党制度提供了现代民主政体治国理政经验，拓展了世界政党政治理论研究空间，开拓了人类政治文明的新形态，为促进世界民主政治发展、坚守和弘扬人类共同价值贡献了中国智慧和中国方案。,中国新型政党制度;政党政治新模式;政治文明新形态;,2019年度教育部哲学社会科学研究重大课题攻关项目“中国新型政党制度研究”（19JZD005）； 2021年度山东大学政治学与公共管理学院研究生科研基金项目“提升中国新型政党制度国际话语权问题研究”（SDZG2021020111）；,10.16012/j.cnki.88375471.2022.02.015,"当代世界社会主义问题.2022,(02)","https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=DSSH202202007&uniplatform=NZKPT&v=FUxdl8BTWuxI7k4FuxktXCFHkrm4fYXRJ3olrBjbHQauezq08_sYkZIxPNiRMCVr
"
[论文]李慧明：欧洲绿色浪潮兴起的深刻动因及其影响,随着全球气候变化加剧和全球生态环境退化，一贯具有较强生态环境保护意识和绿色政治传统的欧洲又兴起新一波强劲的绿色浪潮。鉴于全球气候变化加剧及欧洲民众强烈的生态关切，当前的绿色浪潮短期内不会减弱，将会持续推动欧洲经济社会发展的低碳转型，并对全球范围内的低碳发展和绿色产业革命产生重大影响。而导致绿色浪潮兴起的原因既源于欧洲政治与社会的复杂传统，也源于当下全球范围的生态环境退化与日趋严峻的全球气候变化以及新一轮能源与产业革命所带来的复合影响。,欧洲;绿色政治;环保主义;全球气候变化;,国家社科基金重点项目“全球治理新态势与中国全球治理能力建设研究”（项目编号：20AZD105）的成果；,,"人民论坛.2022,(14)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=RMLT202214006&uniplatform=NZKPT&v=IBuj39tafqfQaYImNO2t3qYFl3rFr-A4RWaQ7tCsPbm05hsEJTQi_918VJz90R8X
